id,mimeType,name,size,webContentLink
1sm1u_UMGU7Lk9qZXyXLgrdRJ1AfQRqaN,image/jpeg,Screenshot_20260814_181002_com_pinterest_MainActivity.jpg,587771,https://drive.google.com/uc?id=1sm1u_UMGU7Lk9qZXyXLgrdRJ1AfQRqaN&export=download
1WPR4r1L9a-4mk0K6wygG6_g0NxEIaJUR,image/jpeg,Screenshot_20260814_181213_com_pinterest_MainActivity.jpg,257018,https://drive.google.com/uc?id=1WPR4r1L9a-4mk0K6wygG6_g0NxEIaJUR&export=download
1_0fTwdKcFMvQxuQJj90zc6Mdr_t9l2Yy,image/jpeg,Screenshot_20260814_181248_com_pinterest_MainActivity.jpg,195742,https://drive.google.com/uc?id=1_0fTwdKcFMvQxuQJj90zc6Mdr_t9l2Yy&export=download
1_9cKmT6jdMBtA4ZEBg9uGpfSuUzw4cX-,image/jpeg,Screenshot_20260814_181514_com_pinterest_MainActivity.jpg,648738,https://drive.google.com/uc?id=1_9cKmT6jdMBtA4ZEBg9uGpfSuUzw4cX-&export=download
1udwjdphb-RnwaMXc-K7h9l0B8jV7vwWC,image/jpeg,Screenshot_20260814_181636_com_pinterest_MainActivity.jpg,663860,https://drive.google.com/uc?id=1udwjdphb-RnwaMXc-K7h9l0B8jV7vwWC&export=download
19T2Y7oI0HkO4fmAk_FllKTnyVvRHTNKF,image/jpeg,Screenshot_20260814_181722_com_pinterest_MainActivity.jpg,566151,https://drive.google.com/uc?id=19T2Y7oI0HkO4fmAk_FllKTnyVvRHTNKF&export=download
1l-nZ4-M7gAzyo4BTuFwQtHtQElPQxkpk,image/jpeg,Screenshot_20260814_181744_com_pinterest_MainActivity.jpg,699481,https://drive.google.com/uc?id=1l-nZ4-M7gAzyo4BTuFwQtHtQElPQxkpk&export=download
1AXRlz73GUXLBncci5M8JOT4OVgX5eM-b,image/jpeg,Screenshot_20260814_181815_com_pinterest_MainActivity.jpg,745068,https://drive.google.com/uc?id=1AXRlz73GUXLBncci5M8JOT4OVgX5eM-b&export=download
1jx9vTe4OPX8QtV9ZY1xHCRrX7n6VA4LB,image/jpeg,Screenshot_20260814_181945_com_pinterest_MainActivity.jpg,550252,https://drive.google.com/uc?id=1jx9vTe4OPX8QtV9ZY1xHCRrX7n6VA4LB&export=download
1kzSVLUgwlT_uVMhZQnMy7RHQiNLndaAy,image/jpeg,Screenshot_20260814_182007_com_pinterest_MainActivity.jpg,500821,https://drive.google.com/uc?id=1kzSVLUgwlT_uVMhZQnMy7RHQiNLndaAy&export=download
1SrtAbW7OJkRr6gaPoMlXGEM2OURX5oFz,image/jpeg,Screenshot_20260814_182128_com_pinterest_MainActivity.jpg,537307,https://drive.google.com/uc?id=1SrtAbW7OJkRr6gaPoMlXGEM2OURX5oFz&export=download
1k4XCtMbHDy-OxF8e-s2HgzMcozAO2dgC,image/jpeg,Screenshot_20260814_182749_com_android_chrome_CustomTabActivity.jpg,260173,https://drive.google.com/uc?id=1k4XCtMbHDy-OxF8e-s2HgzMcozAO2dgC&export=download
103058LLyHYWna4W-RcA50A2ZMRmoct1z,image/jpeg,Screenshot_20260814_183224_com_android_chrome_CustomTabActivity.jpg,688879,https://drive.google.com/uc?id=103058LLyHYWna4W-RcA50A2ZMRmoct1z&export=download
1_pwU6LTZ6IQdMOeOaRlm9gQPpEMf6Hth,image/jpeg,Screenshot_20260814_183224_com_android_chrome_CustomTabActivity.jpg,688879,https://drive.google.com/uc?id=1_pwU6LTZ6IQdMOeOaRlm9gQPpEMf6Hth&export=download
1lvxtO0zuboc4iwioUWdul7h3XZWVqsv3,image/jpeg,Screenshot_20260814_184849_com_android_chrome_ChromeTabbedActivity.jpg,1006535,https://drive.google.com/uc?id=1lvxtO0zuboc4iwioUWdul7h3XZWVqsv3&export=download
10oM8DlOf9M2QbH51yzS-ZCmRkErARIdy,image/jpeg,Screenshot_20260814_184849_com_android_chrome_ChromeTabbedActivity.jpg,1006535,https://drive.google.com/uc?id=10oM8DlOf9M2QbH51yzS-ZCmRkErARIdy&export=download

